id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,1,0,0,1.00002,M.USER.APP.0,100,20,0
2,LINK,2,5,0,1.00002,M.USER.APP.0,100,20,1
3,LINK,3,13,0,1.00002,M.USER.APP.0,100,20,2
4,LINK,4,0,0,1.00002,M.USER.APP.0,100,20,3
5,LINK,5,1,0,1.00002,M.USER.APP.0,100,20,4
6,LINK,6,1,0,1.00002,M.USER.APP.0,100,20,5
7,LINK,7,4,0,1.00002,M.USER.APP.0,100,20,6
2,LINK,5,1,0,1.00002,M.USER.APP.0,101.00002,20,0
3,LINK,13,0,0,1.00002,M.USER.APP.0,101.00002,20,1
5,LINK,1,0,0,1.00002,M.USER.APP.0,101.00002,20,2
6,LINK,1,0,0,1.00002,M.USER.APP.0,101.00002,20,3
7,LINK,4,0,0,1.00002,M.USER.APP.0,101.00002,20,4
2,LINK,1,0,0,1.00002,M.USER.APP.0,102.00004000000001,20,1
8,LINK,1,0,0,1.00002,M.USER.APP.0,200,20,0
9,LINK,2,5,0,1.00002,M.USER.APP.0,200,20,1
10,LINK,3,13,0,1.00002,M.USER.APP.0,200,20,2
11,LINK,4,0,0,1.00002,M.USER.APP.0,200,20,3
12,LINK,5,1,0,1.00002,M.USER.APP.0,200,20,4
13,LINK,6,1,0,1.00002,M.USER.APP.0,200,20,5
14,LINK,7,4,0,1.00002,M.USER.APP.0,200,20,6
9,LINK,5,1,0,1.00002,M.USER.APP.0,201.00002,20,0
10,LINK,13,0,0,1.00002,M.USER.APP.0,201.00002,20,1
12,LINK,1,0,0,1.00002,M.USER.APP.0,201.00002,20,2
13,LINK,1,0,0,1.00002,M.USER.APP.0,201.00002,20,3
14,LINK,4,0,0,1.00002,M.USER.APP.0,201.00002,20,4
9,LINK,1,0,0,1.00002,M.USER.APP.0,202.00004,20,1
15,LINK,1,0,0,1.00002,M.USER.APP.0,300,20,0
16,LINK,2,10,0,1.00002,M.USER.APP.0,300,20,1
17,LINK,3,13,0,1.00002,M.USER.APP.0,300,20,2
18,LINK,4,0,0,1.00002,M.USER.APP.0,300,20,3
19,LINK,5,1,0,1.00002,M.USER.APP.0,300,20,4
20,LINK,6,1,0,1.00002,M.USER.APP.0,300,20,5
21,LINK,7,4,0,1.00002,M.USER.APP.0,300,20,6
17,LINK,13,0,0,1.00002,M.USER.APP.0,301.00002,20,0
19,LINK,1,0,0,1.00002,M.USER.APP.0,301.00002,20,1
20,LINK,1,0,0,1.00002,M.USER.APP.0,301.00002,20,2
21,LINK,4,0,0,1.00002,M.USER.APP.0,301.00002,20,3
22,LINK,1,0,0,1.00002,M.USER.APP.0,400,20,0
23,LINK,2,10,0,1.00002,M.USER.APP.0,400,20,1
24,LINK,3,13,0,1.00002,M.USER.APP.0,400,20,2
25,LINK,4,0,0,1.00002,M.USER.APP.0,400,20,3
26,LINK,5,1,0,1.00002,M.USER.APP.0,400,20,4
27,LINK,6,1,0,1.00002,M.USER.APP.0,400,20,5
28,LINK,7,4,0,1.00002,M.USER.APP.0,400,20,6
24,LINK,13,0,0,1.00002,M.USER.APP.0,401.00002,20,0
26,LINK,1,0,0,1.00002,M.USER.APP.0,401.00002,20,1
27,LINK,1,0,0,1.00002,M.USER.APP.0,401.00002,20,2
28,LINK,4,0,0,1.00002,M.USER.APP.0,401.00002,20,3
30,LINK,2,10,0,1.00002,M.USER.APP.0,500,20,0
31,LINK,3,13,0,1.00002,M.USER.APP.0,500,20,1
32,LINK,4,0,0,1.00002,M.USER.APP.0,500,20,2
33,LINK,5,1,0,1.00002,M.USER.APP.0,500,20,3
34,LINK,6,1,0,1.00002,M.USER.APP.0,500,20,4
35,LINK,7,4,0,1.00002,M.USER.APP.0,500,20,5
31,LINK,13,0,0,1.00002,M.USER.APP.0,501.00002,20,0
35,LINK,4,0,0,1.00002,M.USER.APP.0,501.00002,20,1
37,LINK,2,10,0,1.00002,M.USER.APP.0,600,20,0
38,LINK,3,13,0,1.00002,M.USER.APP.0,600,20,1
39,LINK,4,0,0,1.00002,M.USER.APP.0,600,20,2
40,LINK,5,1,0,1.00002,M.USER.APP.0,600,20,3
41,LINK,6,1,0,1.00002,M.USER.APP.0,600,20,4
42,LINK,7,4,0,1.00002,M.USER.APP.0,600,20,5
38,LINK,13,0,0,1.00002,M.USER.APP.0,601.00002,20,0
42,LINK,4,0,0,1.00002,M.USER.APP.0,601.00002,20,1
44,LINK,2,10,0,1.00002,M.USER.APP.0,700,20,0
45,LINK,3,13,0,1.00002,M.USER.APP.0,700,20,1
47,LINK,5,1,0,1.00002,M.USER.APP.0,700,20,2
48,LINK,6,1,0,1.00002,M.USER.APP.0,700,20,3
49,LINK,7,4,0,1.00002,M.USER.APP.0,700,20,4
45,LINK,13,0,0,1.00002,M.USER.APP.0,701.00002,20,0
51,LINK,2,10,0,1.00002,M.USER.APP.0,800,20,0
52,LINK,3,13,0,1.00002,M.USER.APP.0,800,20,1
54,LINK,5,1,0,1.00002,M.USER.APP.0,800,20,2
55,LINK,6,1,0,1.00002,M.USER.APP.0,800,20,3
56,LINK,7,4,0,1.00002,M.USER.APP.0,800,20,4
52,LINK,13,0,0,1.00002,M.USER.APP.0,801.00002,20,0
58,LINK,2,10,0,1.00002,M.USER.APP.0,900,20,0
59,LINK,3,13,0,1.00002,M.USER.APP.0,900,20,1
61,LINK,5,1,0,1.00002,M.USER.APP.0,900,20,2
62,LINK,6,1,0,1.00002,M.USER.APP.0,900,20,3
63,LINK,7,4,0,1.00002,M.USER.APP.0,900,20,4
65,LINK,2,10,0,1.00002,M.USER.APP.0,1000,20,0
66,LINK,3,13,0,1.00002,M.USER.APP.0,1000,20,1
68,LINK,5,1,0,1.00002,M.USER.APP.0,1000,20,2
69,LINK,6,1,0,1.00002,M.USER.APP.0,1000,20,3
70,LINK,7,4,0,1.00002,M.USER.APP.0,1000,20,4
72,LINK,2,10,0,1.00002,M.USER.APP.0,1100,20,0
73,LINK,3,13,0,1.00002,M.USER.APP.0,1100,20,1
75,LINK,5,1,0,1.00002,M.USER.APP.0,1100,20,2
76,LINK,6,1,0,1.00002,M.USER.APP.0,1100,20,3
77,LINK,7,4,0,1.00002,M.USER.APP.0,1100,20,4
