id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,1,0,0,1.00002,M.USER.APP.0,100,20,0
2,LINK,2,0,1,1.00002,M.USER.APP.1,100,20,1
3,LINK,3,2,2,1.00002,M.USER.APP.2,100,20,2
4,LINK,4,0,3,1.00002,M.USER.APP.3,100,20,3
5,LINK,5,4,4,1.00002,M.USER.APP.4,100,20,4
6,LINK,6,4,5,1.00002,M.USER.APP.5,100,20,5
3,LINK,2,0,2,1.00002,M.USER.APP.2,101.00002,20,0
5,LINK,4,0,4,1.00002,M.USER.APP.4,101.00002,20,1
6,LINK,4,0,5,1.00002,M.USER.APP.5,101.00002,20,2
7,LINK,1,0,0,1.00002,M.USER.APP.0,200,20,0
8,LINK,2,0,1,1.00002,M.USER.APP.1,200,20,1
9,LINK,3,2,2,1.00002,M.USER.APP.2,200,20,2
10,LINK,4,0,3,1.00002,M.USER.APP.3,200,20,3
11,LINK,5,4,4,1.00002,M.USER.APP.4,200,20,4
12,LINK,6,4,5,1.00002,M.USER.APP.5,200,20,5
9,LINK,2,0,2,1.00002,M.USER.APP.2,201.00002,20,0
11,LINK,4,0,4,1.00002,M.USER.APP.4,201.00002,20,1
12,LINK,4,0,5,1.00002,M.USER.APP.5,201.00002,20,2
13,LINK,1,0,0,1.00002,M.USER.APP.0,300,20,0
14,LINK,2,0,1,1.00002,M.USER.APP.1,300,20,1
15,LINK,3,2,2,1.00002,M.USER.APP.2,300,20,2
16,LINK,4,0,3,1.00002,M.USER.APP.3,300,20,3
17,LINK,5,4,4,1.00002,M.USER.APP.4,300,20,4
18,LINK,6,4,5,1.00002,M.USER.APP.5,300,20,5
15,LINK,2,0,2,1.00002,M.USER.APP.2,301.00002,20,0
17,LINK,4,0,4,1.00002,M.USER.APP.4,301.00002,20,1
18,LINK,4,0,5,1.00002,M.USER.APP.5,301.00002,20,2
19,LINK,1,0,0,1.00002,M.USER.APP.0,400,20,0
20,LINK,2,0,1,1.00002,M.USER.APP.1,400,20,1
21,LINK,3,2,2,1.00002,M.USER.APP.2,400,20,2
22,LINK,4,0,3,1.00002,M.USER.APP.3,400,20,3
23,LINK,5,4,4,1.00002,M.USER.APP.4,400,20,4
24,LINK,6,4,5,1.00002,M.USER.APP.5,400,20,5
21,LINK,2,0,2,1.00002,M.USER.APP.2,401.00002,20,0
23,LINK,4,0,4,1.00002,M.USER.APP.4,401.00002,20,1
24,LINK,4,0,5,1.00002,M.USER.APP.5,401.00002,20,2
25,LINK,1,0,0,1.00002,M.USER.APP.0,500,20,0
26,LINK,2,0,1,1.00002,M.USER.APP.1,500,20,1
27,LINK,3,2,2,1.00002,M.USER.APP.2,500,20,2
28,LINK,4,0,3,1.00002,M.USER.APP.3,500,20,3
29,LINK,5,4,4,1.00002,M.USER.APP.4,500,20,4
30,LINK,6,4,5,1.00002,M.USER.APP.5,500,20,5
27,LINK,2,0,2,1.00002,M.USER.APP.2,501.00002,20,0
29,LINK,4,0,4,1.00002,M.USER.APP.4,501.00002,20,1
30,LINK,4,0,5,1.00002,M.USER.APP.5,501.00002,20,2
31,LINK,1,0,0,1.00002,M.USER.APP.0,600,20,0
32,LINK,2,0,1,1.00002,M.USER.APP.1,600,20,1
33,LINK,3,2,2,1.00002,M.USER.APP.2,600,20,2
34,LINK,4,0,3,1.00002,M.USER.APP.3,600,20,3
35,LINK,5,4,4,1.00002,M.USER.APP.4,600,20,4
36,LINK,6,4,5,1.00002,M.USER.APP.5,600,20,5
33,LINK,2,0,2,1.00002,M.USER.APP.2,601.00002,20,0
35,LINK,4,0,4,1.00002,M.USER.APP.4,601.00002,20,1
36,LINK,4,0,5,1.00002,M.USER.APP.5,601.00002,20,2
37,LINK,1,0,0,1.00002,M.USER.APP.0,700,20,0
38,LINK,2,0,1,1.00002,M.USER.APP.1,700,20,1
39,LINK,3,2,2,1.00002,M.USER.APP.2,700,20,2
40,LINK,4,0,3,1.00002,M.USER.APP.3,700,20,3
41,LINK,5,4,4,1.00002,M.USER.APP.4,700,20,4
42,LINK,6,4,5,1.00002,M.USER.APP.5,700,20,5
39,LINK,2,0,2,1.00002,M.USER.APP.2,701.00002,20,0
41,LINK,4,0,4,1.00002,M.USER.APP.4,701.00002,20,1
42,LINK,4,0,5,1.00002,M.USER.APP.5,701.00002,20,2
43,LINK,1,0,0,1.00002,M.USER.APP.0,800,20,0
44,LINK,2,0,1,1.00002,M.USER.APP.1,800,20,1
45,LINK,3,2,2,1.00002,M.USER.APP.2,800,20,2
46,LINK,4,0,3,1.00002,M.USER.APP.3,800,20,3
47,LINK,5,4,4,1.00002,M.USER.APP.4,800,20,4
48,LINK,6,4,5,1.00002,M.USER.APP.5,800,20,5
45,LINK,2,0,2,1.00002,M.USER.APP.2,801.00002,20,0
47,LINK,4,0,4,1.00002,M.USER.APP.4,801.00002,20,1
48,LINK,4,0,5,1.00002,M.USER.APP.5,801.00002,20,2
49,LINK,1,0,0,1.00002,M.USER.APP.0,900,20,0
50,LINK,2,0,1,1.00002,M.USER.APP.1,900,20,1
51,LINK,3,2,2,1.00002,M.USER.APP.2,900,20,2
52,LINK,4,0,3,1.00002,M.USER.APP.3,900,20,3
53,LINK,5,4,4,1.00002,M.USER.APP.4,900,20,4
54,LINK,6,4,5,1.00002,M.USER.APP.5,900,20,5
51,LINK,2,0,2,1.00002,M.USER.APP.2,901.00002,20,0
53,LINK,4,0,4,1.00002,M.USER.APP.4,901.00002,20,1
54,LINK,4,0,5,1.00002,M.USER.APP.5,901.00002,20,2
