id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,1,0,0,2.00001,M.USER.APP.0,100,20,0
2,LINK,2,0,1,2.00001,M.USER.APP.1,100,20,1
3,LINK,3,2,2,2.00001,M.USER.APP.2,100,20,2
4,LINK,4,0,3,1.00002,M.USER.APP.3,100,20,3
3,LINK,2,0,2,2.00001,M.USER.APP.2,102.00001,20,0
5,LINK,1,0,0,2.00001,M.USER.APP.0,200,20,0
6,LINK,2,0,1,2.00001,M.USER.APP.1,200,20,1
7,LINK,3,2,2,2.00001,M.USER.APP.2,200,20,2
8,LINK,4,0,3,1.00002,M.USER.APP.3,200,20,3
7,LINK,2,0,2,2.00001,M.USER.APP.2,202.00001,20,0
9,LINK,1,0,0,2.00001,M.USER.APP.0,300,20,0
10,LINK,2,0,1,2.00001,M.USER.APP.1,300,20,1
11,LINK,3,2,2,2.00001,M.USER.APP.2,300,20,2
12,LINK,4,0,3,1.00002,M.USER.APP.3,300,20,3
11,LINK,2,0,2,2.00001,M.USER.APP.2,302.00001,20,0
13,LINK,1,0,0,2.00001,M.USER.APP.0,400,20,0
14,LINK,2,0,1,2.00001,M.USER.APP.1,400,20,1
15,LINK,3,2,2,2.00001,M.USER.APP.2,400,20,2
16,LINK,4,0,3,1.00002,M.USER.APP.3,400,20,3
15,LINK,2,0,2,2.00001,M.USER.APP.2,402.00001,20,0
17,LINK,1,0,0,2.00001,M.USER.APP.0,500,20,0
18,LINK,2,0,1,2.00001,M.USER.APP.1,500,20,1
19,LINK,3,2,2,2.00001,M.USER.APP.2,500,20,2
20,LINK,4,0,3,1.00002,M.USER.APP.3,500,20,3
19,LINK,2,0,2,2.00001,M.USER.APP.2,502.00001,20,0
21,LINK,1,0,0,2.00001,M.USER.APP.0,600,20,0
22,LINK,2,0,1,2.00001,M.USER.APP.1,600,20,1
23,LINK,3,2,2,2.00001,M.USER.APP.2,600,20,2
24,LINK,4,0,3,1.00002,M.USER.APP.3,600,20,3
23,LINK,2,0,2,2.00001,M.USER.APP.2,602.00001,20,0
25,LINK,1,0,0,2.00001,M.USER.APP.0,700,20,0
26,LINK,2,0,1,2.00001,M.USER.APP.1,700,20,1
27,LINK,3,2,2,2.00001,M.USER.APP.2,700,20,2
28,LINK,4,0,3,1.00002,M.USER.APP.3,700,20,3
27,LINK,2,0,2,2.00001,M.USER.APP.2,702.00001,20,0
29,LINK,1,0,0,2.00001,M.USER.APP.0,800,20,0
30,LINK,2,0,1,2.00001,M.USER.APP.1,800,20,1
31,LINK,3,2,2,2.00001,M.USER.APP.2,800,20,2
32,LINK,4,0,3,1.00002,M.USER.APP.3,800,20,3
31,LINK,2,0,2,2.00001,M.USER.APP.2,802.00001,20,0
33,LINK,1,0,0,2.00001,M.USER.APP.0,900,20,0
34,LINK,2,0,1,2.00001,M.USER.APP.1,900,20,1
35,LINK,3,2,2,2.00001,M.USER.APP.2,900,20,2
36,LINK,4,0,3,1.00002,M.USER.APP.3,900,20,3
35,LINK,2,0,2,2.00001,M.USER.APP.2,902.00001,20,0
