id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
9,COMP_M,5,5_19,M.USER.APP.5,8,33,187,153,None,2.645964596459646,216.69602305555554,219.34198765201518,100.0,216.69602305555554
9,COMP_M,5,5_24,5_(19-24),33,38,153,153,5_19,2.088008800880088,219.34198765201518,221.42999645289527,219.34198765201518,219.34198765201518
9,COMP_M,5,5_25,5_(19-25),33,39,153,153,5_19,3.326632663266327,219.34198765201518,222.66862031528152,219.34198765201518,219.34198765201518
9,COMP_M,5,5_20,5_(19-20),33,34,153,153,5_19,5.9812981298129815,219.34198765201518,225.32328578182816,219.34198765201518,219.34198765201518
9,COMP_M,5,5_22,5_(19-22),33,36,153,153,5_19,3.670967096709671,219.34198765201518,223.01295474872484,219.34198765201518,219.34198765201518
9,COMP_M,5,5_26,5_(20-26),34,40,153,153,5_20,2.2708270827082706,225.32328578182816,227.59411286453644,225.32328578182816,225.32328578182816
9,COMP_M,5,5_21,5_(20-21),34,35,153,153,5_20,4.0832083208320835,225.32328578182816,229.40649410266025,225.32328578182816,225.32328578182816
9,COMP_M,5,5_23,5_(20-23),34,37,153,153,5_20,4.345234523452345,225.32328578182816,229.6685203052805,225.32328578182816,225.32328578182816
13,COMP_M,9,9_39,M.USER.APP.9,12,57,197,153,None,4.191819181918192,254.17526072222222,258.36707990414044,100.0,254.17526072222222
13,COMP_M,9,9_40,9_(39-40),57,53,153,153,9_39,2.5602560256025604,258.36707990414044,260.927335929743,258.36707990414044,258.36707990414044
13,COMP_M,9,9_42,9_(39-42),57,55,153,153,9_39,5.144314431443144,258.36707990414044,263.5113943355836,258.36707990414044,258.36707990414044
13,COMP_M,9,9_41,9_(40-41),53,54,153,153,9_40,2.1939193919391937,260.927335929743,263.12125532168216,260.927335929743,260.927335929743
13,COMP_M,9,9_43,9_(42-43),55,56,153,153,9_42,5.398239823982398,263.5113943355836,268.909634159566,263.5113943355836,263.5113943355836
1,COMP_M,0,0_0,M.USER.APP.0,0,14,169,153,None,3.874687468746875,290.8218453888889,294.69653285763576,100.0,290.8218453888889
1,COMP_M,0,0_1,0_(0-1),14,15,153,153,0_0,5.017101710171017,294.69653285763576,299.71363456780676,294.69653285763576,294.69653285763576
1,COMP_M,0,0_3,0_(0-3),14,17,153,153,0_0,5.815981598159816,294.69653285763576,300.51251445579555,294.69653285763576,294.69653285763576
1,COMP_M,0,0_2,0_(1-2),15,16,153,153,0_1,3.855885588558856,299.71363456780676,303.5695201563656,299.71363456780676,299.71363456780676
1,COMP_M,0,0_4,0_(1-4),15,18,153,153,0_1,5.569056905690569,299.71363456780676,305.2826914734973,299.71363456780676,299.71363456780676
5,COMP_M,2,2_7,M.USER.APP.2,4,22,178,153,None,4.572357235723572,327.8115543888889,332.3839116246125,100.0,327.8115543888889
5,COMP_M,2,2_8,2_(7-8),22,21,153,153,2_7,3.520952095209521,332.3839116246125,335.904863719822,332.3839116246125,332.3839116246125
3,COMP_M,2,2_7,M.USER.APP.2,2,22,195,153,None,4.572357235723572,364.8012633888889,369.3736206246125,100.0,364.8012633888889
3,COMP_M,2,2_8,2_(7-8),22,21,153,153,2_7,3.520952095209521,369.3736206246125,372.894572719822,369.3736206246125,369.3736206246125
6,COMP_M,3,3_9,M.USER.APP.3,5,23,194,153,None,2.0613061306130613,401.7206067222222,403.78191285283526,100.0,401.7206067222222
6,COMP_M,3,3_10,3_(9-10),23,24,153,153,3_9,5.02930293029303,403.78191285283526,408.8112157831283,403.78191285283526,403.78191285283526
2,COMP_M,1,1_5,M.USER.APP.1,1,19,196,153,None,4.342334233423342,439.0945153888889,443.43684962231225,100.0,439.0945153888889
2,COMP_M,1,1_6,1_(5-6),19,20,153,153,1_5,3.645964596459646,443.43684962231225,447.0828142187719,443.43684962231225,443.43684962231225
4,COMP_M,2,2_7,M.USER.APP.2,3,22,172,153,None,4.572357235723572,476.0842243888889,480.6565816246125,100.0,476.0842243888889
4,COMP_M,2,2_8,2_(7-8),22,21,153,153,2_7,3.520952095209521,480.6565816246125,484.177533719822,480.6565816246125,480.6565816246125
12,COMP_M,8,8_35,M.USER.APP.8,11,49,199,153,None,3.658865886588659,513.1161263888889,516.7749922754775,100.0,513.1161263888889
12,COMP_M,8,8_36,8_(35-36),49,50,153,153,8_35,3.637063706370637,516.7749922754775,520.4120559818482,516.7749922754775,516.7749922754775
