id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,169,112,0,72.4849385,M.USER.APP.0,100,1939754,0
2,LINK,196,185,1,49.0304315,M.USER.APP.1,100,4121726,1
3,LINK,195,175,2,40.989709,M.USER.APP.2,100,2969127,2
4,LINK,172,64,2,76.989709,M.USER.APP.2,100,2969127,3
5,LINK,178,107,2,77.4845635,M.USER.APP.2,100,2969127,4
6,LINK,194,190,3,28.6895075,M.USER.APP.3,100,2758030,5
7,LINK,196,185,3,48.6895075,M.USER.APP.3,100,2758030,6
8,LINK,169,112,4,72.99310725,M.USER.APP.4,100,3972429,7
9,LINK,187,112,5,32.99545466666667,M.USER.APP.5,100,2986364,8
10,LINK,194,190,6,28.57688125,M.USER.APP.6,100,2307525,9
11,LINK,198,196,7,56.450138333333335,M.USER.APP.7,100,4350415,10
12,LINK,199,197,8,61.031902,M.USER.APP.8,100,3095706,11
13,LINK,197,173,9,57.47923766666667,M.USER.APP.9,100,4437713,12
6,LINK,190,109,3,54.551606,M.USER.APP.3,128.6895075,2758030,12
9,LINK,112,100,5,12.3732955,M.USER.APP.5,132.99545466666666,2986364,12
3,LINK,175,106,2,36.989709,M.USER.APP.2,140.989709,2969127,12
9,LINK,100,74,5,34.331818222222225,M.USER.APP.5,145.36875016666667,2986364,12
2,LINK,185,112,1,55.0304315,M.USER.APP.1,149.0304315,4121726,12
11,LINK,196,185,7,49.08760375,M.USER.APP.7,156.45013833333334,4350415,12
10,LINK,190,109,6,54.461505,M.USER.APP.6,157.26638874999998,2307525,12
13,LINK,173,110,9,19.479237666666666,M.USER.APP.9,157.47923766666668,4437713,12
12,LINK,197,173,8,57.031902,M.USER.APP.8,161.031902,3095706,12
1,LINK,112,100,0,12.24246925,M.USER.APP.0,172.4849385,1939754,12
13,LINK,110,4,9,12.4437713,M.USER.APP.9,176.95847533333335,4437713,12
4,LINK,64,7,2,60.5938254,M.USER.APP.2,176.989709,2969127,12
5,LINK,107,7,2,38.2969127,M.USER.APP.2,177.48456349999998,2969127,12
3,LINK,106,15,2,30.2969127,M.USER.APP.2,177.979418,2969127,12
9,LINK,74,153,5,36.99545466666667,M.USER.APP.5,179.70056838888888,2986364,12
6,LINK,109,3,3,32.39400428571429,M.USER.APP.3,183.24111349999998,2758030,12
1,LINK,100,74,0,34.215528222222225,M.USER.APP.0,184.72740775,1939754,12
13,LINK,4,7,9,5.246539611111111,M.USER.APP.9,189.40224663333336,4437713,12
13,LINK,7,74,9,10.633959,M.USER.APP.9,194.64878624444447,4437713,12
7,LINK,185,112,3,54.6895075,M.USER.APP.3,197.71993899999998,2758030,12
14,LINK,169,112,0,72.4849385,M.USER.APP.0,200,1939754,13
15,LINK,196,185,1,49.0304315,M.USER.APP.1,200,4121726,14
16,LINK,195,175,2,40.989709,M.USER.APP.2,200,2969127,15
17,LINK,172,64,2,76.989709,M.USER.APP.2,200,2969127,16
18,LINK,178,107,2,77.4845635,M.USER.APP.2,200,2969127,17
19,LINK,194,190,3,28.6895075,M.USER.APP.3,200,2758030,18
20,LINK,196,185,3,48.6895075,M.USER.APP.3,200,2758030,19
21,LINK,169,112,4,72.99310725,M.USER.APP.4,200,3972429,20
22,LINK,187,112,5,32.99545466666667,M.USER.APP.5,200,2986364,21
23,LINK,194,190,6,28.57688125,M.USER.APP.6,200,2307525,22
24,LINK,198,196,7,56.450138333333335,M.USER.APP.7,200,4350415,23
25,LINK,199,197,8,61.031902,M.USER.APP.8,200,3095706,24
26,LINK,197,173,9,57.47923766666667,M.USER.APP.9,200,4437713,25
2,LINK,112,100,1,12.51521575,M.USER.APP.1,204.06086299999998,4121726,25
13,LINK,74,153,9,37.47923766666667,M.USER.APP.9,205.28274524444447,4437713,25
3,LINK,15,7,2,18.424161,M.USER.APP.2,208.27633070000002,2969127,25
6,LINK,3,7,3,11.14515947368421,M.USER.APP.3,215.63511778571427,2758030,25
5,LINK,7,74,2,10.424161,M.USER.APP.2,215.7814762,2969127,25
2,LINK,100,74,1,34.45796955555556,M.USER.APP.1,216.57607875,4121726,25
12,LINK,173,110,8,19.031902,M.USER.APP.8,218.063804,3095706,24
1,LINK,74,153,0,36.64658466666667,M.USER.APP.0,218.94293597222222,1939754,24
5,LINK,74,153,2,36.989709,M.USER.APP.2,226.20563719999998,2969127,24
3,LINK,7,74,2,10.424161,M.USER.APP.2,226.70049170000001,2969127,24
6,LINK,7,74,3,10.394004285714285,M.USER.APP.3,226.78027725939847,2758030,24
19,LINK,190,109,3,54.551606,M.USER.APP.3,228.6895075,2758030,24
22,LINK,112,100,5,12.3732955,M.USER.APP.5,232.99545466666666,2986364,24
12,LINK,110,4,8,12.3095706,M.USER.APP.8,237.095706,3095706,24
3,LINK,74,153,2,36.989709,M.USER.APP.2,237.1246527,2969127,24
4,LINK,7,74,2,10.424161,M.USER.APP.2,237.58353440000002,2969127,24
10,LINK,109,3,6,32.32964642857143,M.USER.APP.6,237.70261849999997,2307525,24
16,LINK,175,106,2,36.989709,M.USER.APP.2,240.989709,2969127,24
22,LINK,100,74,5,34.331818222222225,M.USER.APP.5,245.36875016666667,2986364,24
8,LINK,112,100,4,12.496553625,M.USER.APP.4,245.47804574999998,3972429,24
11,LINK,185,112,7,55.08760375,M.USER.APP.7,246.80754274999998,4350415,24
6,LINK,74,153,3,36.91934333333333,M.USER.APP.3,247.5186569857143,2758030,24
12,LINK,4,7,8,5.171983666666667,M.USER.APP.8,249.4052766,3095706,24
2,LINK,74,153,1,37.373908666666665,M.USER.APP.1,253.40090552777778,4121726,24
12,LINK,7,74,8,10.442243714285715,M.USER.APP.8,254.57726026666668,3095706,23
24,LINK,196,185,7,49.08760375,M.USER.APP.7,256.4501383333333,4350415,23
23,LINK,190,109,6,54.461505,M.USER.APP.6,257.26638875,2307525,23
4,LINK,74,153,2,36.989709,M.USER.APP.2,257.9428179857143,2969127,23
8,LINK,100,74,4,34.441381,M.USER.APP.4,257.97459937499997,3972429,23
7,LINK,112,100,3,12.34475375,M.USER.APP.3,258.7503705,2758030,23
25,LINK,197,173,8,57.031902,M.USER.APP.8,261.031902,3095706,23
12,LINK,74,153,8,37.031902,M.USER.APP.8,268.38506170000005,3095706,23
10,LINK,3,7,6,11.121448684210526,M.USER.APP.6,270.0322649285714,2307525,23
7,LINK,100,74,3,34.30644777777778,M.USER.APP.3,271.09512424999997,2758030,23
26,LINK,173,110,9,19.479237666666666,M.USER.APP.9,275.5430416666667,4437713,23
17,LINK,64,7,2,60.5938254,M.USER.APP.2,276.989709,2969127,23
18,LINK,107,7,2,38.2969127,M.USER.APP.2,277.4845635,2969127,23
16,LINK,106,15,2,30.2969127,M.USER.APP.2,277.979418,2969127,23
10,LINK,7,74,6,10.32964642857143,M.USER.APP.6,281.1537136127819,2307525,23
22,LINK,74,153,5,36.99545466666667,M.USER.APP.5,287.73272375,2986364,23
10,LINK,74,153,6,36.769175,M.USER.APP.6,291.48336004135336,2307525,22
19,LINK,109,3,3,32.39400428571429,M.USER.APP.3,292.25422449999996,2758030,22
26,LINK,110,4,9,12.4437713,M.USER.APP.9,295.02227933333336,4437713,22
15,LINK,185,112,1,55.0304315,M.USER.APP.1,295.83797425,4121726,22
27,LINK,169,112,0,72.4849385,M.USER.APP.0,300,1939754,23
28,LINK,196,185,1,49.0304315,M.USER.APP.1,300,4121726,24
29,LINK,195,175,2,40.989709,M.USER.APP.2,300,2969127,25
30,LINK,172,64,2,76.989709,M.USER.APP.2,300,2969127,26
31,LINK,178,107,2,77.4845635,M.USER.APP.2,300,2969127,27
32,LINK,194,190,3,28.6895075,M.USER.APP.3,300,2758030,28
33,LINK,196,185,3,48.6895075,M.USER.APP.3,300,2758030,29
34,LINK,169,112,4,72.99310725,M.USER.APP.4,300,3972429,30
35,LINK,187,112,5,32.99545466666667,M.USER.APP.5,300,2986364,31
36,LINK,194,190,6,28.57688125,M.USER.APP.6,300,2307525,32
37,LINK,198,196,7,56.450138333333335,M.USER.APP.7,300,4350415,33
38,LINK,199,197,8,61.031902,M.USER.APP.8,300,3095706,34
39,LINK,197,173,9,57.47923766666667,M.USER.APP.9,300,4437713,35
26,LINK,4,7,9,5.246539611111111,M.USER.APP.9,307.46605063333334,4437713,35
16,LINK,15,7,2,18.424161,M.USER.APP.2,308.2763307,2969127,35
26,LINK,7,74,9,10.633959,M.USER.APP.9,312.71259024444447,4437713,35
